"Id","dateonly","DayOfWeek","TimeOfDay","MinSleep"
1503960366,"04/12/16","Tuesday","02",25
1503960366,"04/12/16","Tuesday","03",65
1503960366,"04/12/16","Tuesday","04",61
1503960366,"04/12/16","Tuesday","05",66
1503960366,"04/12/16","Tuesday","06",60
1503960366,"04/12/16","Tuesday","07",61
1503960366,"04/12/16","Tuesday","08",33
1503960366,"04/13/16","Wednesday","03",61
1503960366,"04/13/16","Wednesday","04",60
1503960366,"04/13/16","Wednesday","05",60
1503960366,"04/13/16","Wednesday","06",64
1503960366,"04/13/16","Wednesday","07",77
1503960366,"04/13/16","Wednesday","08",26
1503960366,"04/13/16","Wednesday","20",50
1503960366,"04/13/16","Wednesday","21",44
1503960366,"04/15/16","Friday","02",3
1503960366,"04/15/16","Friday","03",65
1503960366,"04/15/16","Friday","04",60
1503960366,"04/15/16","Friday","05",62
1503960366,"04/15/16","Friday","06",60
1503960366,"04/15/16","Friday","07",66
1503960366,"04/15/16","Friday","08",76
1503960366,"04/15/16","Friday","09",65
1503960366,"04/15/16","Friday","10",23
1503960366,"04/16/16","Saturday","02",55
1503960366,"04/16/16","Saturday","03",64
1503960366,"04/16/16","Saturday","04",65
1503960366,"04/16/16","Saturday","05",62
1503960366,"04/16/16","Saturday","06",65
1503960366,"04/16/16","Saturday","07",64
1503960366,"04/16/16","Saturday","08",27
1503960366,"04/16/16","Saturday","23",34
1503960366,"04/17/16","Sunday","00",60
1503960366,"04/17/16","Sunday","01",61
1503960366,"04/17/16","Sunday","02",60
1503960366,"04/17/16","Sunday","03",61
1503960366,"04/17/16","Sunday","04",61
1503960366,"04/17/16","Sunday","05",61
1503960366,"04/17/16","Sunday","06",60
1503960366,"04/17/16","Sunday","07",61
1503960366,"04/17/16","Sunday","08",60
1503960366,"04/17/16","Sunday","09",64
1503960366,"04/17/16","Sunday","10",60
1503960366,"04/17/16","Sunday","11",21
1503960366,"04/19/16","Tuesday","02",54
1503960366,"04/19/16","Tuesday","03",65
1503960366,"04/19/16","Tuesday","04",60
1503960366,"04/19/16","Tuesday","05",60
1503960366,"04/19/16","Tuesday","06",63
1503960366,"04/19/16","Tuesday","07",34
1503960366,"04/20/16","Wednesday","02",59
1503960366,"04/20/16","Wednesday","03",61
1503960366,"04/20/16","Wednesday","04",63
1503960366,"04/20/16","Wednesday","05",61
1503960366,"04/20/16","Wednesday","06",60
1503960366,"04/20/16","Wednesday","07",75
1503960366,"04/20/16","Wednesday","08",18
1503960366,"04/21/16","Thursday","02",35
1503960366,"04/21/16","Thursday","03",65
1503960366,"04/21/16","Thursday","04",60
1503960366,"04/21/16","Thursday","05",60
1503960366,"04/21/16","Thursday","06",63
1503960366,"04/21/16","Thursday","07",77
1503960366,"04/21/16","Thursday","08",46
1503960366,"04/23/16","Saturday","02",44
1503960366,"04/23/16","Saturday","03",61
1503960366,"04/23/16","Saturday","04",60
1503960366,"04/23/16","Saturday","05",60
1503960366,"04/23/16","Saturday","06",65
1503960366,"04/23/16","Saturday","07",65
1503960366,"04/23/16","Saturday","08",53
1503960366,"04/24/16","Sunday","01",4
1503960366,"04/24/16","Sunday","02",65
1503960366,"04/24/16","Sunday","03",62
1503960366,"04/24/16","Sunday","04",63
1503960366,"04/24/16","Sunday","05",62
1503960366,"04/24/16","Sunday","06",63
1503960366,"04/24/16","Sunday","07",60
1503960366,"04/24/16","Sunday","08",63
1503960366,"04/24/16","Sunday","09",26
1503960366,"04/25/16","Monday","02",12
1503960366,"04/25/16","Monday","03",64
1503960366,"04/25/16","Monday","04",65
1503960366,"04/25/16","Monday","05",63
1503960366,"04/25/16","Monday","06",61
1503960366,"04/25/16","Monday","07",83
1503960366,"04/25/16","Monday","08",27
1503960366,"04/26/16","Tuesday","03",3
1503960366,"04/26/16","Tuesday","04",69
1503960366,"04/26/16","Tuesday","05",61
1503960366,"04/26/16","Tuesday","06",60
1503960366,"04/26/16","Tuesday","07",74
1503960366,"04/26/16","Tuesday","08",39
1503960366,"04/28/16","Thursday","02",58
1503960366,"04/28/16","Thursday","03",60
1503960366,"04/28/16","Thursday","04",65
1503960366,"04/28/16","Thursday","05",61
1503960366,"04/28/16","Thursday","06",65
1503960366,"04/28/16","Thursday","07",70
1503960366,"04/28/16","Thursday","08",42
1503960366,"04/29/16","Friday","02",39
1503960366,"04/29/16","Friday","03",60
1503960366,"04/29/16","Friday","04",60
1503960366,"04/29/16","Friday","05",61
1503960366,"04/29/16","Friday","06",60
1503960366,"04/29/16","Friday","07",69
1503960366,"04/29/16","Friday","08",18
1503960366,"04/30/16","Saturday","01",10
1503960366,"04/30/16","Saturday","02",60
1503960366,"04/30/16","Saturday","03",66
1503960366,"04/30/16","Saturday","04",60
1503960366,"04/30/16","Saturday","05",62
1503960366,"04/30/16","Saturday","06",60
1503960366,"04/30/16","Saturday","07",67
1503960366,"04/30/16","Saturday","08",62
1503960366,"05/01/16","Sunday","02",66
1503960366,"05/01/16","Sunday","03",62
1503960366,"05/01/16","Sunday","04",60
1503960366,"05/01/16","Sunday","05",63
1503960366,"05/01/16","Sunday","06",61
1503960366,"05/01/16","Sunday","07",67
1503960366,"05/01/16","Sunday","08",49
1503960366,"05/02/16","Monday","03",58
1503960366,"05/02/16","Monday","04",60
1503960366,"05/02/16","Monday","05",60
1503960366,"05/02/16","Monday","06",61
1503960366,"05/02/16","Monday","07",74
1503960366,"05/02/16","Monday","08",34
1503960366,"05/03/16","Tuesday","03",23
1503960366,"05/03/16","Tuesday","04",60
1503960366,"05/03/16","Tuesday","05",60
1503960366,"05/03/16","Tuesday","06",63
1503960366,"05/03/16","Tuesday","07",74
1503960366,"05/03/16","Tuesday","08",42
1503960366,"05/05/16","Thursday","04",45
1503960366,"05/05/16","Thursday","05",60
1503960366,"05/05/16","Thursday","06",62
1503960366,"05/05/16","Thursday","07",71
1503960366,"05/05/16","Thursday","08",44
1503960366,"05/06/16","Friday","02",38
1503960366,"05/06/16","Friday","03",60
1503960366,"05/06/16","Friday","04",63
1503960366,"05/06/16","Friday","05",61
1503960366,"05/06/16","Friday","06",61
1503960366,"05/06/16","Friday","07",74
1503960366,"05/06/16","Friday","08",45
1503960366,"05/07/16","Saturday","02",28
1503960366,"05/07/16","Saturday","03",60
1503960366,"05/07/16","Saturday","04",65
1503960366,"05/07/16","Saturday","05",60
1503960366,"05/07/16","Saturday","06",60
1503960366,"05/07/16","Saturday","07",60
1503960366,"05/07/16","Saturday","08",36
1503960366,"05/08/16","Sunday","01",30
1503960366,"05/08/16","Sunday","02",60
1503960366,"05/08/16","Sunday","03",60
1503960366,"05/08/16","Sunday","04",67
1503960366,"05/08/16","Sunday","05",60
1503960366,"05/08/16","Sunday","06",61
1503960366,"05/08/16","Sunday","07",61
1503960366,"05/08/16","Sunday","08",61
1503960366,"05/08/16","Sunday","09",60
1503960366,"05/08/16","Sunday","10",64
1503960366,"05/08/16","Sunday","11",45
1503960366,"05/09/16","Monday","00",25
1503960366,"05/09/16","Monday","01",61
1503960366,"05/09/16","Monday","02",60
1503960366,"05/09/16","Monday","03",60
1503960366,"05/09/16","Monday","04",60
1503960366,"05/09/16","Monday","05",63
1503960366,"05/09/16","Monday","06",17
1503960366,"05/10/16","Tuesday","01",24
1503960366,"05/10/16","Tuesday","02",60
1503960366,"05/10/16","Tuesday","03",60
1503960366,"05/10/16","Tuesday","04",60
1503960366,"05/10/16","Tuesday","05",60
1503960366,"05/10/16","Tuesday","06",60
1503960366,"05/10/16","Tuesday","07",77
1503960366,"05/10/16","Tuesday","08",23
1503960366,"05/11/16","Wednesday","03",52
1503960366,"05/11/16","Wednesday","04",60
1503960366,"05/11/16","Wednesday","05",62
1503960366,"05/11/16","Wednesday","06",60
1503960366,"05/11/16","Wednesday","07",74
1503960366,"05/11/16","Wednesday","08",19
1644430081,"04/29/16","Friday","18",27
1644430081,"04/29/16","Friday","19",68
1644430081,"04/29/16","Friday","20",40
1644430081,"04/30/16","Saturday","14",6
1644430081,"04/30/16","Saturday","15",74
1644430081,"04/30/16","Saturday","16",61
1644430081,"04/30/16","Saturday","17",22
1644430081,"05/01/16","Sunday","18",173
1644430081,"05/01/16","Sunday","19",167
1644430081,"05/01/16","Sunday","20",133
1644430081,"05/01/16","Sunday","21",60
1644430081,"05/01/16","Sunday","22",60
1644430081,"05/01/16","Sunday","23",60
1644430081,"05/02/16","Monday","00",60
1644430081,"05/02/16","Monday","01",60
1644430081,"05/02/16","Monday","02",60
1644430081,"05/02/16","Monday","03",60
1644430081,"05/02/16","Monday","04",60
1644430081,"05/02/16","Monday","05",60
1644430081,"05/02/16","Monday","06",60
1644430081,"05/02/16","Monday","07",60
1644430081,"05/02/16","Monday","08",60
1644430081,"05/02/16","Monday","09",60
1644430081,"05/02/16","Monday","10",2
1644430081,"05/08/16","Sunday","18",55
1644430081,"05/08/16","Sunday","19",65
1644430081,"05/08/16","Sunday","20",54
1844505072,"04/14/16","Thursday","20",108
1844505072,"04/14/16","Thursday","21",137
1844505072,"04/14/16","Thursday","22",128
1844505072,"04/14/16","Thursday","23",127
1844505072,"04/15/16","Friday","00",66
1844505072,"04/15/16","Friday","01",60
1844505072,"04/15/16","Friday","02",60
1844505072,"04/15/16","Friday","03",60
1844505072,"04/15/16","Friday","04",60
1844505072,"04/15/16","Friday","05",60
1844505072,"04/15/16","Friday","06",60
1844505072,"04/15/16","Friday","07",60
1844505072,"04/15/16","Friday","08",60
1844505072,"04/15/16","Friday","09",60
1844505072,"04/15/16","Friday","10",90
1844505072,"04/15/16","Friday","11",128
1844505072,"04/15/16","Friday","12",42
1844505072,"04/29/16","Friday","22",123
1844505072,"04/29/16","Friday","23",127
1844505072,"04/30/16","Saturday","00",64
1844505072,"04/30/16","Saturday","01",60
1844505072,"04/30/16","Saturday","02",60
1844505072,"04/30/16","Saturday","03",60
1844505072,"04/30/16","Saturday","04",60
1844505072,"04/30/16","Saturday","05",60
1844505072,"04/30/16","Saturday","06",60
1844505072,"04/30/16","Saturday","07",60
1844505072,"04/30/16","Saturday","08",60
1844505072,"04/30/16","Saturday","09",60
1844505072,"04/30/16","Saturday","10",115
1844505072,"04/30/16","Saturday","11",127
1844505072,"04/30/16","Saturday","12",130
1844505072,"04/30/16","Saturday","13",62
1844505072,"04/30/16","Saturday","14",10
1844505072,"04/30/16","Saturday","20",17
1844505072,"04/30/16","Saturday","21",132
1844505072,"04/30/16","Saturday","22",134
1844505072,"04/30/16","Saturday","23",133
1844505072,"05/01/16","Sunday","00",151
1844505072,"05/01/16","Sunday","01",141
1844505072,"05/01/16","Sunday","02",143
1844505072,"05/01/16","Sunday","03",65
1844505072,"05/01/16","Sunday","04",60
1844505072,"05/01/16","Sunday","05",60
1844505072,"05/01/16","Sunday","06",60
1844505072,"05/01/16","Sunday","07",60
1844505072,"05/01/16","Sunday","08",60
1844505072,"05/01/16","Sunday","09",60
1844505072,"05/01/16","Sunday","10",60
1844505072,"05/01/16","Sunday","11",60
1844505072,"05/01/16","Sunday","12",53
1927972279,"04/11/16","Monday","21",4
1927972279,"04/11/16","Monday","22",60
1927972279,"04/11/16","Monday","23",60
1927972279,"04/12/16","Tuesday","00",60
1927972279,"04/12/16","Tuesday","01",64
1927972279,"04/12/16","Tuesday","02",60
1927972279,"04/12/16","Tuesday","03",61
1927972279,"04/12/16","Tuesday","04",61
1927972279,"04/12/16","Tuesday","05",60
1927972279,"04/12/16","Tuesday","06",51
1927972279,"04/12/16","Tuesday","07",61
1927972279,"04/12/16","Tuesday","08",36
1927972279,"04/12/16","Tuesday","11",28
1927972279,"04/12/16","Tuesday","12",60
1927972279,"04/12/16","Tuesday","13",60
