"DayOfWeek","TimeOfDay","AvgSteps"
"Sunday","00",82.595041322314
"Sunday","01",52.6694214876033
"Sunday","02",49.6363636363636
"Sunday","03",4.78512396694215
"Sunday","04",5.65289256198347
"Sunday","05",16.6859504132231
"Sunday","06",62.6611570247934
"Sunday","07",181.099173553719
"Sunday","08",351.173553719008
"Sunday","09",413.793388429752
"Sunday","10",582.942148760331
"Sunday","11",422.140495867769
"Sunday","12",452.851239669421
"Sunday","13",498.03305785124
"Sunday","14",578.173553719008
"Sunday","15",499.02479338843
"Sunday","16",363.558333333333
"Sunday","17",538.975
"Sunday","18",480.708333333333
"Sunday","19",481.058333333333
"Sunday","20",257.425
"Sunday","21",269.066666666667
"Sunday","22",165.766666666667
"Sunday","23",110.658333333333
"Monday","00",30.0083333333333
"Monday","01",17.2833333333333
"Monday","02",6.76666666666667
"Monday","03",8.54166666666667
"Monday","04",18.8083333333333
"Monday","05",31.65
"Monday","06",177.266666666667
"Monday","07",360.291666666667
"Monday","08",512.991666666667
"Monday","09",498.075
"Monday","10",554.066666666667
"Monday","11",383.725
"Monday","12",525.453781512605
"Monday","13",531.949579831933
"Monday","14",444.798319327731
"Monday","15",340.731092436975
"Monday","16",555.756302521008
"Monday","17",489.313559322034
"Monday","18",665.627118644068
"Monday","19",628.813559322034
"Monday","20",362.025423728814
"Monday","21",351.118644067797
"Monday","22",178.779661016949
"Monday","23",81.1101694915254
"Tuesday","00",28.3466666666667
"Tuesday","01",25.54
"Tuesday","02",10.6866666666667
"Tuesday","03",5.70666666666667
"Tuesday","04",16.9666666666667
"Tuesday","05",85.3333333333333
"Tuesday","06",238.08
"Tuesday","07",383.173333333333
"Tuesday","08",434.073333333333
"Tuesday","09",371.473333333333
"Tuesday","10",521.346666666667
"Tuesday","11",416.853333333333
"Tuesday","12",657.093333333333
"Tuesday","13",553.626666666667
"Tuesday","14",432.113333333333
"Tuesday","15",353.6
"Tuesday","16",525.746666666667
"Tuesday","17",615.64
"Tuesday","18",637.053333333333
"Tuesday","19",579.46
"Tuesday","20",364.58
"Tuesday","21",347.76
"Tuesday","22",289.373333333333
"Tuesday","23",135.92
"Wednesday","00",31.2214765100671
"Wednesday","01",14.9060402684564
"Wednesday","02",14.4765100671141
"Wednesday","03",2.22818791946309
"Wednesday","04",14.3355704697987
"Wednesday","05",36.7852348993289
"Wednesday","06",182.080536912752
"Wednesday","07",268.020134228188
"Wednesday","08",441.093959731544
"Wednesday","09",420.308724832215
"Wednesday","10",372.107382550336
"Wednesday","11",440.751677852349
"Wednesday","12",504.795918367347
"Wednesday","13",472.727891156463
"Wednesday","14",545.374149659864
"Wednesday","15",389.986394557823
"Wednesday","16",464.204081632653
"Wednesday","17",739.632653061224
"Wednesday","18",744.122448979592
"Wednesday","19",603.285714285714
"Wednesday","20",332.30612244898
"Wednesday","21",211.958904109589
"Wednesday","22",202.68275862069
"Wednesday","23",130.71724137931
"Thursday","00",31.2827586206897
"Thursday","01",16.2620689655172
"Thursday","02",11.5793103448276
"Thursday","03",4.73793103448276
"Thursday","04",8.13194444444444
"Thursday","05",54.2222222222222
"Thursday","06",256.875
"Thursday","07",334.125
"Thursday","08",421.652777777778
"Thursday","09",426.270833333333
"Thursday","10",517.153846153846
"Thursday","11",465.539007092199
"Thursday","12",561.553956834532
"Thursday","13",456.36231884058
"Thursday","14",563.615942028986
"Thursday","15",402.318181818182
"Thursday","16",564.166666666667
"Thursday","17",552.420634920635
"Thursday","18",534.198412698413
"Thursday","19",583.865079365079
"Thursday","20",361.793650793651
"Thursday","21",369.428571428571
"Thursday","22",268.198412698413
"Thursday","23",99.468253968254
"Friday","00",44.2777777777778
"Friday","01",19.0079365079365
"Friday","02",16.2777777777778
"Friday","03",10.8015873015873
"Friday","04",14.4365079365079
"Friday","05",61.2301587301587
"Friday","06",239.512
"Friday","07",412.096
"Friday","08",448.728
"Friday","09",415.416
"Friday","10",343.112
"Friday","11",442.888
"Friday","12",451.056
"Friday","13",494.176
"Friday","14",541.28
"Friday","15",345.912
"Friday","16",495.008064516129
"Friday","17",396.064516129032
"Friday","18",604.846774193548
"Friday","19",623.016129032258
"Friday","20",400.58064516129
"Friday","21",275.024193548387
"Friday","22",244.516129032258
"Friday","23",163.788617886179
"Saturday","00",55.2032520325203
"Saturday","01",18.8770491803279
"Saturday","02",13.5737704918033
"Saturday","03",9.47540983606557
"Saturday","04",10.0327868852459
"Saturday","05",10.3688524590164
"Saturday","06",62.0163934426229
"Saturday","07",186.450819672131
"Saturday","08",379.918032786885
"Saturday","09",507.450819672131
"Saturday","10",495.495867768595
"Saturday","11",638.066115702479
"Saturday","12",672.04132231405
"Saturday","13",779.925619834711
"Saturday","14",698.322314049587
"Saturday","15",530.082644628099
"Saturday","16",506.702479338843
"Saturday","17",465.338842975207
"Saturday","18",490.619834710744
"Saturday","19",580.181818181818
"Saturday","20",398.628099173554
"Saturday","21",342.01652892562
"Saturday","22",307.809917355372
"Saturday","23",127.396694214876
