"Calories","TotalSteps","TotalDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","TimeTakenToSleep"
1985,13162,8.5,0,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,1,327,346,19
1797,10735,6.96999979019165,0,1.57000005245209,0.689999997615814,4.71000003814697,0,21,19,217,776,2,384,407,23
1745,9762,6.28000020980835,0,2.14000010490417,1.25999999046326,2.82999992370605,0,29,34,209,726,1,412,442,30
1863,12669,8.15999984741211,0,2.71000003814697,0.409999996423721,5.03999996185303,0,36,10,221,773,2,340,367,27
1728,9705,6.48000001907349,0,3.19000005722046,0.779999971389771,2.50999999046326,0,38,20,164,539,1,700,712,12
2035,15506,9.88000011444092,0,3.52999997138977,1.32000005245209,5.03000020980835,0,50,31,264,775,1,304,320,16
1786,10544,6.67999982833862,0,1.96000003814697,0.479999989271164,4.23999977111816,0,28,12,205,818,1,360,377,17
1775,9819,6.34000015258789,0,1.3400000333786,0.349999994039536,4.65000009536743,0,19,8,211,838,1,325,364,39
1949,14371,9.03999996185303,0,2.80999994277954,0.870000004768372,5.3600001335144,0,41,21,262,732,1,361,384,23
1788,10039,6.40999984741211,0,2.92000007629395,0.209999993443489,3.27999997138977,0,39,5,238,709,1,430,449,19
2013,15355,9.80000019073486,0,5.28999996185303,0.569999992847443,3.94000005722046,0,73,14,216,814,1,277,323,46
1970,13755,8.78999996185303,0,2.32999992370605,0.920000016689301,5.53999996185303,0,31,23,279,833,1,245,274,29
1898,13154,8.52999973297119,0,3.53999996185303,1.1599999666214,3.78999996185303,0,48,28,189,782,1,366,393,27
1837,11181,7.15000009536743,0,1.05999994277954,0.5,5.57999992370605,0,16,12,243,815,1,341,354,13
1947,14673,9.25,0,3.55999994277954,1.41999995708466,4.26999998092651,0,52,34,217,712,1,404,425,21
1820,10602,6.80999994277954,0,2.28999996185303,1.60000002384186,2.92000007629395,0,33,35,246,730,1,369,396,27
2004,14727,9.71000003814697,0,3.21000003814697,0.569999992847443,5.92000007629395,0,41,15,277,798,1,277,309,32
1990,15103,9.65999984741211,0,3.73000001907349,1.04999995231628,4.88000011444092,0,50,24,254,816,1,273,296,23
1959,14070,8.89999961853027,0,2.92000007629395,1.08000004291534,4.88000011444092,0,45,24,250,857,1,247,264,17
1896,12159,8.02999973297119,0,1.97000002861023,0.25,5.80999994277954,0,24,6,289,754,1,334,367,33
1821,11992,7.71000003814697,0,2.46000003814697,2.11999988555908,3.13000011444092,0,37,46,175,833,1,331,349,18
1740,10060,6.57999992370605,0,3.52999997138977,0.319999992847443,2.73000001907349,0,44,8,203,574,1,594,611,17
1819,12022,7.71999979019165,0,3.45000004768372,0.529999971389771,3.74000000953674,0,46,11,206,835,1,338,342,4
1859,12207,7.76999998092651,0,3.34999990463257,1.1599999666214,3.25999999046326,0,46,31,214,746,1,383,403,20
1783,12770,8.13000011444092,0,2.55999994277954,1.00999999046326,4.55000019073486,0,36,23,251,669,1,285,306,21
2498,3176,2.30999994277954,0,0,0,2.30999994277954,0,0,0,120,1193,1,119,127,8
